Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01_Login,Chrome 108.0.0.0,,,2023-01-19 20:30:27,2023-01-19 20:31:19,52.052s,PASSED
,,,,,,,
Test Cases/TC01_Valid_Login,Chrome 108.0.0.0,,,2023-01-19 20:30:27,2023-01-19 20:30:39,11.745s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-19 20:30:28,2023-01-19 20:30:31,3.272s,PASSED
"navigateToUrl(""http://172.18.49.40:8080/login"")",Chrome 108.0.0.0,,,2023-01-19 20:30:31,2023-01-19 20:30:35,3.379s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Email""), ""testsuperadmin@mailinator.com"")",Chrome 108.0.0.0,,,2023-01-19 20:30:35,2023-01-19 20:30:36,1.308s,PASSED
"setEncryptedText(findTestObject(""Page_Aprodite/input_Password""), ""5xx1bkCcAlw="")",Chrome 108.0.0.0,,,2023-01-19 20:30:36,2023-01-19 20:30:37,0.597s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-01-19 20:30:37,2023-01-19 20:30:39,2.046s,PASSED
"click(findTestObject(""Page_Aprodite/Button Login""))",Chrome 108.0.0.0,,,2023-01-19 20:30:39,2023-01-19 20:30:39,0.479s,PASSED
,,,,,,,
Test Cases/TC02_Invalid_Email,Chrome 108.0.0.0,,,2023-01-19 20:30:39,2023-01-19 20:30:51,11.671s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-19 20:30:40,2023-01-19 20:30:43,2.738s,PASSED
"navigateToUrl(""http://172.18.49.40:8080/login"")",Chrome 108.0.0.0,,,2023-01-19 20:30:43,2023-01-19 20:30:46,3.468s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Email""), """")",Chrome 108.0.0.0,,,2023-01-19 20:30:46,2023-01-19 20:30:47,0.863s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Password""), ""test123"")",Chrome 108.0.0.0,,,2023-01-19 20:30:47,2023-01-19 20:30:48,0.873s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-01-19 20:30:48,2023-01-19 20:30:50,2.012s,PASSED
"click(findTestObject(""Page_Aprodite/Button Login""))",Chrome 108.0.0.0,,,2023-01-19 20:30:50,2023-01-19 20:30:50,0.444s,PASSED
"verifyElementPresent(findTestObject(""Page_Aprodite/Invalid_username""), 0)",Chrome 108.0.0.0,,,2023-01-19 20:30:50,2023-01-19 20:30:51,0.511s,PASSED
,,,,,,,
Test Cases/TC03_Invalid_Password,Chrome 108.0.0.0,,,2023-01-19 20:30:51,2023-01-19 20:31:03,11.964s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-19 20:30:51,2023-01-19 20:30:54,2.499s,PASSED
"navigateToUrl(""http://172.18.49.40:8080/login"")",Chrome 108.0.0.0,,,2023-01-19 20:30:54,2023-01-19 20:30:58,3.823s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Email""), ""testsuperadmin@mailinator.com"")",Chrome 108.0.0.0,,,2023-01-19 20:30:58,2023-01-19 20:30:59,1.116s,PASSED
"setText(findTestObject(""Page_Aprodite/input_Password""), """")",Chrome 108.0.0.0,,,2023-01-19 20:30:59,2023-01-19 20:31:00,0.852s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-01-19 20:31:00,2023-01-19 20:31:02,2.015s,PASSED
"click(findTestObject(""Page_Aprodite/Button Login""))",Chrome 108.0.0.0,,,2023-01-19 20:31:02,2023-01-19 20:31:02,0.558s,PASSED
"verifyElementPresent(findTestObject(""Page_Aprodite/Invalid_Password""), 0)",Chrome 108.0.0.0,,,2023-01-19 20:31:02,2023-01-19 20:31:03,0.505s,PASSED
,,,,,,,
Test Cases/TC04_Logout,Chrome 108.0.0.0,,,2023-01-19 20:31:03,2023-01-19 20:31:19,16.228s,PASSED
"callTestCase(findTestCase(""TC01_Valid_Login""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-19 20:31:03,2023-01-19 20:31:14,10.983s,PASSED
"click(findTestObject(""Page_Aprodite/Photo_profile""))",Chrome 108.0.0.0,,,2023-01-19 20:31:14,2023-01-19 20:31:17,2.163s,PASSED
delay(2),Chrome 108.0.0.0,,,2023-01-19 20:31:17,2023-01-19 20:31:19,2.008s,PASSED
"click(findTestObject(""Page_Aprodite/Logout_Button""))",Chrome 108.0.0.0,,,2023-01-19 20:31:19,2023-01-19 20:31:19,0.426s,PASSED
